Column_or_Row_Name,Unit,Definition,Data_Type
Wave_852,%,Reflectance at associated wavelength,numeric
Wave_853,%,Reflectance at associated wavelength,numeric
Wave_854,%,Reflectance at associated wavelength,numeric
Wave_855,%,Reflectance at associated wavelength,numeric
Wave_856,%,Reflectance at associated wavelength,numeric
Wave_857,%,Reflectance at associated wavelength,numeric
Wave_858,%,Reflectance at associated wavelength,numeric
Wave_859,%,Reflectance at associated wavelength,numeric
Wave_860,%,Reflectance at associated wavelength,numeric
Wave_861,%,Reflectance at associated wavelength,numeric
Wave_862,%,Reflectance at associated wavelength,numeric
Wave_863,%,Reflectance at associated wavelength,numeric
Wave_864,%,Reflectance at associated wavelength,numeric
Wave_865,%,Reflectance at associated wavelength,numeric
Wave_866,%,Reflectance at associated wavelength,numeric
Wave_867,%,Reflectance at associated wavelength,numeric
Wave_868,%,Reflectance at associated wavelength,numeric
Wave_869,%,Reflectance at associated wavelength,numeric
Wave_870,%,Reflectance at associated wavelength,numeric
Wave_871,%,Reflectance at associated wavelength,numeric
Wave_872,%,Reflectance at associated wavelength,numeric
Wave_873,%,Reflectance at associated wavelength,numeric
Wave_874,%,Reflectance at associated wavelength,numeric
Wave_875,%,Reflectance at associated wavelength,numeric
Wave_876,%,Reflectance at associated wavelength,numeric
Wave_877,%,Reflectance at associated wavelength,numeric
Wave_878,%,Reflectance at associated wavelength,numeric
Wave_879,%,Reflectance at associated wavelength,numeric
Wave_880,%,Reflectance at associated wavelength,numeric
Wave_881,%,Reflectance at associated wavelength,numeric
Wave_882,%,Reflectance at associated wavelength,numeric
Wave_883,%,Reflectance at associated wavelength,numeric
Wave_884,%,Reflectance at associated wavelength,numeric
Wave_885,%,Reflectance at associated wavelength,numeric
Wave_886,%,Reflectance at associated wavelength,numeric
Wave_887,%,Reflectance at associated wavelength,numeric
Wave_888,%,Reflectance at associated wavelength,numeric
Wave_889,%,Reflectance at associated wavelength,numeric
Wave_890,%,Reflectance at associated wavelength,numeric
Wave_891,%,Reflectance at associated wavelength,numeric
Wave_892,%,Reflectance at associated wavelength,numeric
Wave_893,%,Reflectance at associated wavelength,numeric
Wave_894,%,Reflectance at associated wavelength,numeric
Wave_895,%,Reflectance at associated wavelength,numeric
Wave_896,%,Reflectance at associated wavelength,numeric
Wave_897,%,Reflectance at associated wavelength,numeric
Wave_898,%,Reflectance at associated wavelength,numeric
Wave_899,%,Reflectance at associated wavelength,numeric
Wave_900,%,Reflectance at associated wavelength,numeric
Wave_901,%,Reflectance at associated wavelength,numeric
