SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,LMA,Narea,Nmass
20200715_DN_11785,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,80.79,1.93,23.86
20200715_DN_13849,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,94.81,3.19,33.66
20200715_DD_6_5,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,75.62,2.85,37.75
20200715_DD_ST66,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,86.27,1.55,18
20200715_DD_19,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,74.5,1.62,21.7
20200716_DD_S7C4,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,100.62,1.58,15.67
20200716_DD_3_1,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,115.51,1.89,16.38
20200716_DM_9707,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,88.78,2.61,29.37
20200716_DM_6329,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,73.15,2.12,28.92
20200716_DM_29310,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,87,1.31,15.01
20200716_DN_11802,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,67.63,1.74,25.76
20200716_DM_13693,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,105.15,2.33,22.12
20200716_DN_11795,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus nigra ,Sun,Young,C3,Agricultural,Managed,73.38,3.26,44.47
20200716_DM_11690,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,81.43,2.45,30.1
20200716_TM_24326,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,71.17,2.34,32.86
20200716_DM_8019,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,74.64,1.78,23.82
20200716_DM_6323,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,55.1,1.5,27.19
20200716_DM_24159,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,83.57,3.16,37.78
20200716_TM_29270,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,118.04,1.92,16.27
20200716_TM_24245,Kyaw_et_al_2022,Pontotoc,Populus trichocarpa x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,82.93,2.22,26.75
20200716_DD_110412,Kyaw_et_al_2022,Pontotoc,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,104.26,2.2,21.12
