BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL11026,2016-03-10,PA-SLZ,VOCHFE,50.18,6.18,1.67,30.05,35.04,501.8,61.8,16.7,63.57,7.83,2.12,Diurnal 1,sunlit,126.69,78.93,61.70
BNL11028,2016-03-10,PA-SLZ,TACHVE,51.92,5.85,2.48,20.94,24.41,519.2,58.5,24.8,47.39,5.34,2.26,ACi,sunlit,91.27,109.56,56.77
BNL11029,2016-03-10,PA-SLZ,TACHVE,53.32,6.12,2.59,20.59,24.01,533.2,61.2,25.9,46.07,5.29,2.24,Diurnal 1,sunlit,86.40,115.74,43.82
BNL11030,2016-03-10,PA-SLZ,CARAGU,53.55,5.79,1.19,45.00,52.48,535.5,57.9,11.9,51.20,5.54,1.14,Diurnal 1,sunlit,95.61,104.59,55.68
BNL11032,2016-03-10,PA-SLZ,GUATDU,44.93,5.44,1.71,26.27,30.64,449.3,54.4,17.1,40.57,4.91,1.54,ACi,sunlit,90.30,110.75,45.84
BNL11051,2016-03-10,PA-SLZ,VIROSP,54.06,6.27,1.63,33.17,38.68,540.6,62.7,16.3,94.30,10.94,2.84,Diurnal 1,sunlit,174.43,57.33,46.25
BNL11055,2016-03-14,PA-PNM,ALBIAD,51.05,6.88,2.89,17.66,20.60,510.5,68.8,28.9,49.06,6.61,2.78,Diurnal 1,sunlit,96.11,104.05,41.33
BNL11059,2016-03-11,PA-SLZ,APEIME,51.99,6.29,1.77,29.37,34.25,519.9,62.9,17.7,61.93,7.49,2.11,ACi,sunlit,119.12,83.95,54.25
BNL11080,2016-03-11,PA-SLZ,VOCHFE,46.27,5.46,1.4,33.05,38.54,462.7,54.6,14,76.54,9.03,2.32,ACi,sunlit,165.41,60.46,51.75
BNL11091,2016-03-11,PA-SLZ,VIROSP,53.77,6.23,1.77,30.38,35.43,537.7,62.3,17.7,83.23,9.64,2.74,ACi,sunlit,154.78,64.61,56.14
BNL11095,2016-03-11,PA-SLZ,VIROSP,52.67,5.91,1.52,34.65,40.41,526.7,59.1,15.2,75.88,8.51,2.19,ACi,sunlit,144.06,69.42,57.10
BNL11105,2016-03-11,PA-SLZ,VOCHFE,49.7,5.87,1.33,37.37,43.58,497,58.7,13.3,61.98,7.32,1.66,ACi,sunlit,124.71,80.19,55.25
BNL11106,2016-03-14,PA-PNM,CASTEL,45.3,5.66,2.03,22.32,26.02,453,56.6,20.3,47.54,5.94,2.13,Diurnal 1,sunlit,104.93,95.30,59.09
BNL11107,2016-03-11,PA-SLZ,MICOBO,53.07,5.6,1.74,30.50,35.57,530.7,56,17.4,46.03,4.86,1.51,ACi,sunlit,86.73,115.30,50.37
BNL11108,2016-03-11,PA-SLZ,GUATDU,51.67,6.36,1.9,27.19,31.71,516.7,63.6,19,38.01,4.68,1.40,ACi,sunlit,73.55,135.95,56.03
BNL11109,2016-03-11,PA-SLZ,MICOBO,53,5.49,1.75,30.29,35.32,530,54.9,17.5,64.38,6.67,2.13,ACi,sunlit,121.46,82.33,50.49
BNL11110,2016-03-14,PA-PNM,CORDAL,44.63,5.53,2.74,16.29,19.00,446.3,55.3,27.4,34.28,4.25,2.10,Diurnal 1,sunlit,76.82,130.18,60.91
BNL11114,2016-03-14,PA-PNM,CAL2CA,50.49,6.2,1.84,27.44,32.00,504.9,62,18.4,46.63,5.73,1.70,Diurnal 1,sunlit,92.36,108.27,63.61
BNL11116,2016-03-14,PA-PNM,ANTITR,55.07,6.96,1.43,38.51,44.91,550.7,69.6,14.3,57.39,7.25,1.49,Diurnal 1,sunlit,104.21,95.96,50.69
BNL11121,2016-03-10,PA-SLZ,TOCOPI,52.61,6.47,1.65,31.88,37.18,526.1,64.7,16.5,37.72,4.64,1.18,ACi,sunlit,71.71,139.46,61.56
BNL11137,2016-03-11,PA-SLZ,VOCHFE,48.52,6.07,1.49,32.56,37.98,485.2,60.7,14.9,63.69,7.97,1.96,ACi,sunlit,131.27,76.18,60.47
BNL11138,2016-03-11,PA-SLZ,CARAGU,53.88,6.16,1.21,44.53,51.93,538.8,61.6,12.1,82.30,9.41,1.85,ACi,sunlit,152.74,65.47,54.83
BNL11139,2016-03-11,PA-SLZ,TERMAM,50.63,5.33,1.9,26.65,31.08,506.3,53.3,19,62.48,6.58,2.34,ACi,sunlit,123.41,81.03,54.49
BNL11141,2016-03-14,PA-PNM,ANACEX,47.63,5.21,1.66,28.69,33.46,476.3,52.1,16.6,49.70,5.44,1.73,Diurnal 1,sunlit,104.35,95.83,63.84
BNL11142,2016-03-11,PA-SLZ,TACHVE,52.03,6.41,2.18,23.87,27.83,520.3,64.1,21.8,48.76,6.01,2.04,ACi,sunlit,93.72,106.70,41.15
BNL11143,2016-03-11,PA-SLZ,TACHVE,52.76,6.36,2.23,23.66,27.59,527.6,63.6,22.3,55.85,6.73,2.36,ACi,sunlit,105.86,94.46,40.45
BNL11144,2016-03-11,PA-SLZ,TOCOPI,49.54,6.32,1.73,28.64,33.39,495.4,63.2,17.3,51.29,6.54,1.79,ACi,sunlit,103.54,96.58,59.36
BNL11145,2016-03-11,PA-SLZ,GUATDU,49.74,6.2,2.26,22.01,25.67,497.4,62,22.6,37.57,4.68,1.71,ACi,sunlit,75.53,132.40,54.12
BNL11146,2016-03-11,PA-SLZ,TOCOPI,51.4,6.59,1.74,29.54,34.45,514,65.9,17.4,41.35,5.30,1.40,ACi,sunlit,80.45,124.30,63.30
BNL11173,2016-03-10,PA-SLZ,CARAGU,53.21,5.68,1.6,33.26,38.78,532.1,56.8,16,54.27,5.79,1.63,ACi,sunlit,101.99,98.05,50.94
BNL11208,2016-03-15,PA-PNM,LUEHSE,48.42,6.28,1.99,24.33,28.38,484.2,62.8,19.9,68.31,8.86,2.81,ACi,sunlit,141.08,70.88,47.25
BNL11232,2016-03-14,PA-PNM,LUEHSE,49.29,5.92,1.99,24.77,28.89,492.9,59.2,19.9,73.96,8.88,2.99,Diurnal 1,sunlit,150.06,66.64,42.73
BNL11272,2016-03-12,PA-BCI,MICOAR,43.69,6.05,1.93,22.64,26.40,436.9,60.5,19.3,44.51,6.16,1.97,Diurnal 1,sunlit,101.87,98.16,60.51
BNL11273,2016-03-12,PA-BCI,SIMAM,53.31,6.69,1.87,28.51,33.25,533.1,66.9,18.7,81.18,10.19,2.85,Diurnal 1,sunlit,152.27,65.67,53.52
BNL11282,2016-03-12,PA-BCI,GUSTSU,49.19,6.74,2.79,17.63,20.56,491.9,67.4,27.9,27.24,3.73,1.55,Diurnal 1,sunlit,55.38,180.56,65.14
