unique,Variety,Row,Position,SampleID,leaf.area.cm2,leaf.dry.mass.g,lma.g.m2,leafn,leafc
156,vio,r25,p6,vio_r25_p6,223.083,2.012,90.19064653,3.8701,44.198
157,vio,r25,p7,vio_r25_p7,70.587,0.591,83.72646521,3.0788,43.826
158,vio,r25,p8,vio_r25_p8,188.075,1.551,82.46710089,4.0073,43.862
159,vio,r25,p9,vio_r25_p9,191.123,1.592,83.29714372,3.622,45.037
160,vio,r26,p1,vio_r26_p1,178.606,1.269,71.05024467,4.2231,44.812
161,vio,r26,p10,vio_r26_p10,170.077,1.423,83.66798568,3.5973,43.402
162,vio,r26,p2,vio_r26_p2,151.438,1.065,70.3258099,3.7267,44.669
163,vio,r26,p3,vio_r26_p3,151.959,1.065,70.0846939,3.5606,44.809
164,vio,r26,p4,vio_r26_p4,151.203,1.134,74.99851193,3.6506,44.171
165,vio,r26,p5,vio_r26_p5,158.447,1.442,91.0083498,3.9022,43.889
166,vio,r26,p6,vio_r26_p6,176.639,1.699,96.18487424,3.9239,45.107
167,vio,r26,p7,vio_r26_p7,37.985,0.371,97.67013295,2.6224,42.837
168,vio,r26,p8,vio_r26_p8,260.938,2.334,89.44653519,4.3871,44.569
169,vio,r26,p9,vio_r26_p9,180.834,1.514,83.72319365,3.708,43.39
170,vio,r27,p1,vio_r27_p1,205.657,1.559,75.80583204,4.0572,43.635
171,vio,r27,p10,vio_r27_p10,156.296,1.386,88.67789323,3.7542,44.838
172,vio,r27,p2,vio_r27_p2,196.132,1.48,75.4593845,3.4482,44.959
173,vio,r27,P3,vio_r27_p3,140.261,0.999,71.2243603,3.3705,44.924
174,vio,r27,P4,vio_r27_p4,194.457,1.409,72.45817841,3.729,44.379
175,vio,r27,p5,vio_r27_p5,191.972,1.367,71.20830121,3.3493,44.91
176,vio,r27,p6,vio_r27_p6,185.051,1.611,87.05708156,3.6065,43.76
177,vio,r27,p7,vio_r27_p7,206.737,1.744,84.35838771,3.8972,44.26
178,vio,r27,p8,vio_r27_p8,225.052,1.956,86.91324672,3.5872,46.091
179,vio,r27,p9,vio_r27_p9,185.097,1.544,83.41572257,3.9985,44.808
