PlotName,ForestPlotsCode,Subplot,PlotCensusNumber,CensusDate,TagNumber,HPOM_m,D_POM_cm,Height_m,Alive_1_Dead_0_At2015Census,Comments,Family,Genus,SpeciesName,GenusSpecies,SpeciesIDsource,Group,WoodDensity,CrownProjection_Area_m2_in2016,X_m,Y_m,GirdlingDeathDate,Time_since_Girdle,Survived,Biomass_kgPerStem,Carbon_kgCperStem
Tower,SAF-05,16,4,04/08/2015 00:00,221,0,0,0,0,dead,Moraceae,Ficus,variegata,Ficus variegata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.31,,,,,,0,0,0
Tower,SAF-05,16,4,04/08/2015 00:00,222,0,0,0,0,dead,Moraceae,Ficus,variegata,Ficus variegata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.31,,,,,,0,0,0
Tower,SAF-05,16,4,04/08/2015 00:00,223,1.3,12.9,7,1,NA,Urticaceae,Dendrocnide,elliptica,Dendrocnide elliptica,"SAFE Carbon Team Field ID, 2014",pioneer,0.62,0,567829.39,521260.065,01/08/2016 00:00,180,0,36.76096746,17.53498148
Tower,SAF-05,16,4,04/08/2015 00:00,224,1.3,22.8,10.1,1,NA,Urticaceae,Dendrocnide,elliptica,Dendrocnide elliptica,"SAFE Carbon Team Field ID, 2014",pioneer,0.62,13.23,567833.632,521271.975,,,1,165.6916183,79.03490192
Tower,SAF-05,16,4,04/08/2015 00:00,225,1.55,10.2,5,1,NA,Annonaceae,Polyalthia,sp.,Polyalthia sp.,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.5421932,5.446,567830.201,521271.131,15/06/2016 00:00,133,0,14.35628914,6.847949922
Tower,SAF-05,16,4,04/08/2015 00:00,226,1.3,12,7,1,NA,Euphorbiaceae,Mallotus,lackeyi,Mallotus lackeyi,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.467715143,7.394,567829.033,521275.081,07/02/2017 00:00,370,0,23.99715438,11.44664264
Tower,SAF-05,16,4,04/08/2015 00:00,227,0,0,0,0,Dead,Euphorbiaceae,Macaranga,hypoleuca,Macaranga hypoleuca,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.263333333,,,,,,0,0,0
Tower,SAF-05,16,4,04/08/2015 00:00,228,1.55,11.1,9,1,NA,Lamiaceae,Callicarpa,pentandra,Callicarpa pentandra,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.34,3.776,567823.967,521264.759,06/10/2016 00:00,246,0,19.19045034,9.153844812
Tower,SAF-05,16,4,04/08/2015 00:00,1454,1.3,12.7,7,1,NA,Lamiaceae,Callicarpa,pentandra,Callicarpa pentandra,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.34,6.384,567823.33,521261.07,09/04/2016 00:00,66,0,19.53899318,9.320099747
Tower,SAF-05,17,4,04/08/2015 00:00,229,0,0,0,0,NA,NA,Leea,aculeata,Leea aculeata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.57,,,,,,0,0,0
