Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',292,1,20-janv-16,'C1_292_1',L1,C1_292_1_L1,0.87,0.346,'T',52.96829,65.3221012,-0.874212239,3.20533605,20,1,JAN20,T292_JAN20_L1
'C1',292,1,20-janv-16,'C1_292_1',L2,C1_292_1_L2,0.86,0.352,'T',54.3852662,64.72341217,-0.555437574,NaN,20,1,JAN20,T292_JAN20_L2
'C1',292,1,20-janv-16,'C1_292_1',L3,C1_292_1_L3,1.04,0.646,'T',65.79763378,98.17982242,-0.70934263,1.586345904,20,1,JAN20,T292_JAN20_L3
'C1',292,1,20-janv-16,'C1_292_1',L4,C1_292_1_L4,1.04,0.41,'T',64.02758289,64.03490207,-0.668938812,1.621035085,20,1,JAN20,T292_JAN20_L4
'C1',292,1,20-janv-16,'C1_292_1',L5,C1_292_1_L5,0.61,0.309,'T',49.01953501,63.03609366,-1.027081532,0.539033345,20,1,JAN20,T292_JAN20_L5
'C1',295,1,20-janv-16,'C1_295_1',L1,C1_295_1_L1,2.78,1.52,'T',146.9825973,103.4136032,-1.200100642,4.164047744,20,1,JAN20,T295_JAN20_L1
'C1',295,1,20-janv-16,'C1_295_1',L2,C1_295_1_L2,4.87,3.055,'T',197.1181043,154.9832275,-1.170441542,4.381818461,20,1,JAN20,T295_JAN20_L2
'C1',295,1,20-janv-16,'C1_295_1',L3,C1_295_1_L3,3.45,1.775,'T',186.3277617,95.26224025,-1.171996257,3.180854156,20,1,JAN20,T295_JAN20_L3
'C1',295,1,20-janv-16,'C1_295_1',L4,C1_295_1_L4,3.27,1.564,'T',133.4098913,117.2326868,NaN,NaN,20,1,JAN20,T295_JAN20_L4
'C1',295,1,20-janv-16,'C1_295_1',L5,C1_295_1_L5,2.57,1.539,'T',136.3011418,112.9117467,-0.983933157,0.919362829,20,1,JAN20,T295_JAN20_L5
'C1',239,1,20-janv-16,'C1_239_1',L1,C1_239_1_L1,1.36,0.606,'T',58.68365662,103.2655487,-0.540585042,NaN,20,1,JAN20,T239_JAN20_L1
'C1',239,1,20-janv-16,'C1_239_1',L2,C1_239_1_L2,1.8,0.752,'T',78.30485624,96.03491228,-0.393944238,NaN,20,1,JAN20,T239_JAN20_L2
'C1',239,1,20-janv-16,'C1_239_1',L3,C1_239_1_L3,1.29,0.741,'T',51.06864768,145.0988099,-0.795936615,0.779768164,20,1,JAN20,T239_JAN20_L3
