SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,LMA,Narea,Nmass,Parea,Pmass,LWC
W6_960,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_961,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_962,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_963,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_964,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_965,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_966,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_967,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_968,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_969,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_970,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_971,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_972,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_973,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_974,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_975,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_976,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_977,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_978,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_979,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_980,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_981,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_982,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_983,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_984,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_985,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_986,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_987,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_988,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_989,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_990,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_991,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_992,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_993,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_994,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_995,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W6_996,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_902,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_903,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_904,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_905,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_906,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_907,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_908,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_909,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_910,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_911,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_912,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_913,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
W13_914,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,NA,NA,NA,NA,NA,NA
