no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
74,M34,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400699.asd.txt,ExpUrteAugust201400699.asd,ExpUrteAugust201400699.asd.sco,August2014_M34_.csv,97.2775397,13.1406,3.39,44.49,-15.25444066
75,M35,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400708.asd.txt,ExpUrteAugust201400708.asd,ExpUrteAugust201400708.asd.sco,August2014_M35_.csv,95.86730391,13.8726,3.17,44,-15.476526
76,M36,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400717.asd.txt,ExpUrteAugust201400717.asd,ExpUrteAugust201400717.asd.sco,August2014_M36_.csv,89.80392157,13.482,3.39,45.73,-15.75964805
77,M37,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400735.asd.txt,ExpUrteAugust201400735.asd,ExpUrteAugust201400735.asd.sco,August2014_M37_.csv,96.18041447,15.5905,2.84,44.35,-15.5937026
78,M38,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400741.asd.txt,ExpUrteAugust201400741.asd,ExpUrteAugust201400741.asd.sco,August2014_M38_.csv,98.51828499,12.6974,3.48,44.23,-15.23459884
79,M39,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400750.asd.txt,ExpUrteAugust201400750.asd,ExpUrteAugust201400750.asd.sco,August2014_M39_.csv,98.04814574,13.2811,3.35,44.45,-15.20544913
80,M40,Zea mays,Agricultural,Sun,Mature,Pot,C4,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400759.asd.txt,ExpUrteAugust201400759.asd,ExpUrteAugust201400759.asd.sco,August2014_M40_.csv,94.12244898,22.8791,1.9,43.58,-15.77097421
81,Fb 1a,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00273.asd.txt,Moricandia_CLF00273.asd,Moricandia_CLF00273.asd.sco,Jun14_Fb1a_.csv,83.67052023,7.473,4.79,35.78,
82,Fb 1b,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00279.asd.txt,Moricandia_CLF00279.asd,Moricandia_CLF00279.asd.sco,Jun14_Fb1b_.csv,88.82997526,7.9357,4.38,34.75,
83,Fb 2a,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00285.asd.txt,Moricandia_CLF00285.asd,Moricandia_CLF00285.asd.sco,Jun14_Fb2a_.csv,81.47838215,7.4339,5.01,37.27,
84,Fb 2b,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00291.asd.txt,Moricandia_CLF00291.asd,Moricandia_CLF00291.asd.sco,Jun14_Fb2b_.csv,80.6779661,7.827,4.6,36.01,
85,Fb 2c,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00297.asd.txt,Moricandia_CLF00297.asd,Moricandia_CLF00297.asd.sco,Jun14_Fb2c_.csv,84.63888889,7.6088,4.56,34.7,
