SampleID,date,TreeID,USDA_Code,Na,Ca,C_N,LMA,LDMC,T_Asat,Asat,Vcmax25,Vcmax,T_Rdark,Rdark25,Rdark
BNL19408,20210811,110,QURU,1812.512031,40383.44562,22.28037383,84.69682387,0.488888889,27.00475,13.16724344,56.57395496,66.64319434,26.99988333,1.164473452,1.302057867
BNL19409,20210811,23,BEAL2,1647.781958,34298.27631,20.81481481,67.80995713,0.047839506,27.00978333,14.18982388,54.40127122,65.60920499,26.9999,1.018295155,1.088924277
BNL19410,20210811,11,BEAL2,1441.366699,27743.59962,19.2481203,54.186718,0.443307087,26.99963333,12.69839085,50.63972889,61.01504153,26.99698333,0.932425147,0.997001447
BNL19411,20210811,109,QURU,2701.86993,60266.04565,22.30530973,119.5517668,0.48038674,27.00216667,12.11485169,53.07135035,62.50401054,27.00366667,1.264214044,1.413879652
BNL19436,20210902,112,QUAL,2787.364224,51424.24034,18.4490566,105.1835556,0.476635514,26.99928333,1.431359621,11.48854676,10.77673463,26.99906667,1.59264765,1.716848954
BNL19437,20210902,112,QUAL,2554.302214,53853.205,21.08333333,112.0307988,0.469354839,26.99215,7.026688932,51.36629185,48.19757519,26.99675,1.668817615,1.798803467
BNL19438,20210902,113,ACRU,994.9655734,26998.22314,27.13483146,55.89694233,0.428977273,26.99181667,5.688473159,31.58987953,33.38058382,27.0017,0.661684304,0.700330066
BNL19439,20210902,113,ACRU,1159.931887,27434.66351,23.65196078,56.85940623,0.436363636,25.99618308,5.742561421,32.05639218,32.95112044,26.14461231,0.754562176,0.779528275
BNL19440,20210902,112,QUAL,2637.536092,53770.27361,20.38655462,110.8208442,0.454084507,27.00406667,1.7894688,11.94379813,11.20161675,27.00255,1.797891437,1.938350427
BNL19441,20210902,113,ACRU,1102.454283,24716.31376,22.41935484,50.80434484,0.422285714,26.99736667,3.494919482,17.97115472,18.99278086,26.99735,0.530024778,0.560912212
BNL19442,20210902,117,BEAL2,930.8950914,22328.05582,23.98557692,44.7545717,0.437647059,27.00015,6.545169789,25.02448363,30.1530706,27.00416667,0.63823837,0.682603692
