ID,Year,Fertilisation,Season,Site,Plot,Tree,Rep,Family,Genus,Species,Photosynthesis,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,Asat,Cond,SLA,C,N,P,K,Ca,Mg,Mn,Phenol_Perc,Phenol,Tannin_Perc,Tannin,CII,Height,Diameter10cm,Diameter50cm,LAI,Herbivory
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(mg g-1),(%),(mg g-1),(/),(cm),(mm),(mm),(m² m-2),(%)
2017_dry_PAR-B2_AL8_Asat,2017,NP,dry,PAR,B2,AL8,1,Chrysobalanaceae,Licania,alba,Asat,NA,NA,NA,NA,NA,NA,3.771450965,0.131543263,122.0682576,45.44629669,1.365181565,0.039757182,0.186425274,0.378016416,0.264128762,0.013648256,NA,NA,NA,NA,1,73.4,11.68,2.38,NA,NA
2017_dry_PAR-B2_EF5_Asat,2017,NP,dry,PAR,B2,EF5,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,4.413551904,0.085819818,194.566365,50.54597473,1.837549806,0.087337479,0.656900791,0.532826456,0.263008762,0.010493217,NA,NA,NA,NA,1,94.3,6.18,4.95,NA,NA
2017_dry_PAR-B2_EF7_Asat,2017,NP,dry,PAR,B2,EF7,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,3.13997702,0.060602799,257.8489209,50.32889557,1.39238286,0.129894578,1.204862575,0.115527108,0.107275979,0.004574548,NA,NA,NA,NA,1,103.5,6.02,3.52,NA,NA
2017_dry_PAR-B2_EF8_Asat,2017,NP,dry,PAR,B2,EF8,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,3.500495912,0.071539192,236.8276619,50.64429474,1.668764591,0.117753623,1.162083333,0.114528986,0.169655797,0.004021739,NA,NA,NA,NA,1,91.5,7.18,5.11,NA,NA
2017_dry_PAR-B2_EF9_Asat,2017,NP,dry,PAR,B2,EF9,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,3.891642199,0.07708592,1049.086207,49.63448715,2.185039997,0.129894578,1.204862575,0.115527108,0.107275979,0.004574548,NA,NA,NA,NA,1,104.2,6.6,6.65,NA,NA
2017_dry_PAR-B2_IH1_Asat,2017,NP,dry,PAR,B2,IH1,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,2.138926459,0.043401891,133.9798065,51.23680496,1.702153802,0.090613383,1.068963755,0.515687732,0.285478625,0.015645911,NA,NA,NA,NA,1,140.8,21.72,18.74,NA,NA
2017_dry_PAR-B2_IH2_Asat,2017,NP,dry,PAR,B2,IH2,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,3.1721988,0.109890895,230.194415,52.72582626,1.70499897,0.090613383,1.068963755,0.515687732,0.285478625,0.015645911,NA,NA,NA,NA,1,108.5,17.5,11.45,NA,NA
2017_dry_PAR-B2_IH6_Asat,2017,NP,dry,PAR,B2,IH6,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.623824349,0.086705872,115.5714695,52.60374832,1.69540596,0.059315023,0.830015718,0.321085374,0.182176539,0.007159993,NA,NA,NA,NA,1,133.1,12.78,13.72,NA,NA
2017_dry_PAR-B2_IH8_Asat,2017,NP,dry,PAR,B2,IH8,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.761683091,0.080781325,135.1038136,51.87570953,1.847946525,0.064706862,0.882763991,0.330219853,0.227935543,0.006503165,NA,NA,NA,NA,1,87.8,10.15,7.37,NA,NA
2017_dry_PAR-B2_IH9_Asat,2017,NP,dry,PAR,B2,IH9,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.390859686,0.069537689,118.081381,51.32875443,1.51296401,0.05573312,0.661728925,0.581829804,0.313648622,0.013954255,NA,NA,NA,NA,1,152.3,16.69,11.6,NA,NA
2017_dry_PAR-B2_LP1_Asat,2017,NP,dry,PAR,B2,LP1,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,4.007518696,0.088524241,132.4324711,50.7826004,1.313813448,0.061712011,1.10992286,0.129087591,0.135729098,0.002620272,NA,NA,NA,NA,1,180,15.89,12.92,NA,NA
2017_dry_PAR-B2_LP2_Asat,2017,NP,dry,PAR,B2,LP2,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.099185862,0.05480703,109.470749,51.0880127,1.585448146,0.038848565,0.476429396,0.202472781,0.152709502,0.003402342,NA,NA,NA,NA,1,123.2,13.33,8.15,NA,NA
2017_dry_PAR-B2_LP3_Asat,2017,NP,dry,PAR,B2,LP3,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.855090065,0.053288045,204.7780244,51.04492188,1.557656884,0.036952998,0.611769044,0.280735818,0.290214749,0.013448947,NA,NA,NA,NA,1,103.8,15.8,5.31,NA,NA
2017_dry_PAR-B2_LP4_Asat,2017,NP,dry,PAR,B2,LP4,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,5.255601559,0.09454702,107.7762619,50.29513931,1.441499233,0.044559251,0.676479658,0.33583145,0.186918792,0.01274782,NA,NA,NA,NA,1,120,15.44,11.44,NA,NA
2017_dry_PAR-B2_LP5_Asat,2017,NP,dry,PAR,B2,LP5,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,4.392020024,0.075371318,103.015039,51.14528656,1.599227667,0.049691458,0.418823482,0.189694706,0.274216466,0.011850438,NA,NA,NA,NA,1,194.6,16.57,13.58,NA,NA
