ID,Year,Fertilisation,Season,Site,Plot,Tree,Branch,Rep,Family,Genus,Species,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,CCI,SLA,C,N,P,K,Ca,Mg,Mn,S,Na,V,Sr,As,Cd,Cr,Cu,Fe,Pb,Zn,Mo,CII,Height,Remark_Height/CII
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(/),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(/),(m),(/)
2019_wet_NOU-T2_81T2,2019,NP,wet,NOU,T2,81,T,2,Chrysobalanaceae,Licania,alba,25.371,76.948,1.564,NA,NA,NA,39.76666667,45.74915636,49.06097031,1.129971385,0.033048561,0.106490154,0.155683361,0.236006738,0.0038304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
2019_wet_NOU-T2_81T1,2019,NP,wet,NOU,T2,81,T,1,Chrysobalanaceae,Licania,alba,49.471,132.87,1.564,49.38,136.637,9.738,52.73333333,48.23704333,46.46923447,1.154684424,0.038283909,0.126739432,0.129506816,0.163657943,0.003742661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
2019_wet_NOU-T3_82D3,2019,P,wet,NOU,T3,82,D,3,Chrysobalanaceae,Licania,alba,19.46,60.038,0.551,NA,NA,NA,85.53333333,49.60206186,49.93419647,1.112920284,0.02891758,0.176324214,0.144779897,0.1141567,0.005213946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,
2019_wet_NOU-T3_82D2,2019,P,wet,NOU,T3,82,D,2,Chrysobalanaceae,Licania,alba,25.47,76.733,0.551,NA,NA,NA,66.26666667,46.89929442,50.16226578,0.890849888,0.027905518,0.141718612,0.15144401,0.113880676,0.005915946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,
2019_wet_NOU-T3_82D1,2019,P,wet,NOU,T3,82,D,1,Chrysobalanaceae,Licania,alba,26.854,81.745,0.551,NA,NA,NA,72.23333333,48.19162736,50.29676437,1.130643129,0.026815031,0.131932059,0.161280684,0.152294431,0.005798956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,
2019_wet_NOU-T3_82T3,2019,P,wet,NOU,T3,82,T,3,Chrysobalanaceae,Licania,alba,38.917,90.489,0.911,39.557,91.147,7.1,72.8,45.38120257,50.15042877,0.884045362,0.027067154,0.169980795,0.124055562,0.101752673,0.004560114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
2019_wet_NOU-T3_82T2,2019,P,wet,NOU,T3,82,T,2,Chrysobalanaceae,Licania,alba,34.817,80.997,0.911,34.52,82.459,6.469,69.76666667,43.03255814,51.02019501,1.007266521,0.027260336,0.215489886,0.137022533,0.087905468,0.005798634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
2019_wet_NOU-T3_82T1,2019,P,wet,NOU,T3,82,T,1,Chrysobalanaceae,Licania,alba,29.646,60.817,0.911,29.7,61.103,5.061,56.33333333,46.69277929,47.0979538,0.78027755,0.024247492,0.226471716,0.118111192,0.12209102,0.005375188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,
2019_wet_NOU-T4_250D3,2019,C,wet,NOU,T4,250,D,3,Chrysobalanaceae,Licania,alba,12.75,34.544,0.755,NA,NA,NA,46.53333333,73.95730706,48.007164,1.15280211,0.034343434,0.314852903,0.283145622,0.20253618,0.005315861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
2019_wet_NOU-T4_250D2,2019,C,wet,NOU,T4,250,D,2,Chrysobalanaceae,Licania,alba,12.728,41.451,0.755,NA,NA,NA,71.86666667,68.19042921,49.22037506,1.319082141,0.037290715,0.25814109,0.242819635,0.211895314,0.006433209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
