SampleID,date,genus_species,site,fresh_mass,dry_mass,leaf_area,LMA,isotope_mass,15N,13C,N_pc,C_pc,CN_ratio,spectra_name,vertical_position,vertical_profile,vertical_level,Tleaf_spec
BNL20373,20220217,Anacardium excelsum,PA-PNM,0.238,0.0733,9.80556,74.75350719,0.707,2.4,-27.8,1.5,51.4,33.7,BNL20373,B02,B,2,32.6
BNL20374,20220217,Anacardium excelsum,PA-PNM,0.239,0.0905,9.80556,92.29457573,0.824,2.5,-28,1.6,49,31.6,BNL20374,A01,A,1,32.4
BNL20375,20220217,Anacardium excelsum,PA-PNM,0.198,0.0635,9.80556,64.75917745,0.765,2.5,-29.6,1.4,51.9,38.3,BNL20375,A04,A,4,32.9
BNL20376,20220217,Anacardium excelsum,PA-PNM,0.229,0.0854,9.80556,87.09344494,0.793,-0.4,-28.9,0.8,46.4,57.6,BNL20376,A02,A,2,33
BNL20377,20220217,Cecropia peltata,PA-PNM,0.228,0.0606,9.80556,61.8016717,0.712,0.3,-31.1,2.7,47.4,17.8,BNL20377,B06,B,6,31.7
BNL20378,20220217,Luehea seemannii,PA-PNM,0.292,0.1478,9.80556,150.7308099,0.815,0.4,-29.8,1.9,50,26.3,BNL20378,G01,G,1,32.2
BNL20379,20220217,Anacardium excelsum,PA-PNM,0.247,0.0824,9.80556,84.03395625,0.83,2.2,-27,1.6,51.9,32.7,BNL20379,B01,B,1,30.1
BNL20380,20220217,Anacardium excelsum,PA-PNM,0.142,0.0626,9.80556,63.84133084,0.76,-1.7,-28.5,3,52,17.3,BNL20380,B03,B,3,33.4
BNL20383,20220224,Chrysophyllum cainito,PA-PNM,0.273,0.133,11.42559,116.4053673,0.841,1.5,-30,1.4,49.4,35.6,BNL20383,N/A,N/A,N/A,29.2
BNL20384,20220224,Chrysophyllum cainito,PA-PNM,0.27,0.1404,11.42559,122.8820569,0.776,3.3,-30.9,1.7,51.8,30.9,BNL20384,N/A,N/A,N/A,29.7
BNL20387,20220224,Chrysophyllum cainito,PA-PNM,0.231,0.1133,11.42559,99.16336924,0.79,3.3,-30.8,1.9,53.1,28.3,BNL20387,N/A,N/A,N/A,29.5
BNL20397,20220228,Schefflera morototoni,PA-PNM,0.281,0.1106,13.50297,81.90790619,0.722,2.6,-29.3,2.6,51.8,19.9,BNL20397,N/A,N/A,N/A,23.5
BNL20402,20220228,Schefflera morototoni,PA-PNM,0.231,0.0892,13.50297,66.05954098,0.835,3.4,-31,2.4,51.1,21.4,BNL20402,N/A,N/A,N/A,22
BNL20405,20220228,Schefflera morototoni,PA-PNM,N/A,N/A,N/A,N/A,0.809,2.8,-30.1,2.5,53.3,21.6,BNL20405,N/A,N/A,N/A,22.4
BNL20426,20220302,Cinnamomum triplinerve,PA-PNM,0.351,0.1907,13.50297,141.2281891,0.748,2.6,-31.2,1.9,52.1,27.2,BNL20426,N/A,N/A,N/A,26.1
BNL20427,20220302,Cinnamomum triplinerve,PA-PNM,0.401,0.222,13.50297,164.4082746,0.846,2.9,-30.2,1.7,54.2,32.4,BNL20427,N/A,N/A,N/A,28.3
BNL20430,20220302,Cinnamomum triplinerve,PA-PNM,0.342,0.1743,13.50297,129.0827129,0.775,2,-32.3,1.7,50.3,30,BNL20430,N/A,N/A,N/A,28.2
BNL20433,20220302,Cinnamomum triplinerve,PA-PNM,0.364,0.1969,13.50297,145.8197715,0.818,0.7,-31,2.1,51.3,24.5,BNL20433,N/A,N/A,N/A,26.7
BNL20438,20220303,Cecropia peltata,PA-PNM,0.249,0.0894,13.50297,66.20765654,0.76,1.4,-27.8,3.4,48.8,14.3,BNL20438,N/A,N/A,N/A,21.7
BNL20439,20220303,Cecropia peltata,PA-PNM,0.218,0.086,13.50297,63.68969197,0.804,0,-30.6,2.9,45.3,15.5,BNL20439,N/A,N/A,N/A,21.3
BNL20444,20220303,Cecropia peltata,PA-PNM,0.2,0.0745,13.50297,55.17304711,0.724,-0.4,-30.9,2.5,45.6,18.6,BNL20444,N/A,N/A,N/A,21.7
BNL20445,20220303,Cecropia peltata,PA-PNM,0.204,0.084,13.50297,62.20853634,0.758,-0.2,-29.7,2.2,44.7,19.9,BNL20445,N/A,N/A,N/A,21.5
BNL20462,20220307,Castilla elastica,PA-PNM,0.273,0.1214,13.50297,89.90614657,0.721,1.3,-30.1,2.3,45.7,20.3,BNL20462,N/A,N/A,N/A,22.3
BNL20468,20220307,Castilla elastica,PA-PNM,0.298,0.1207,13.50297,89.3877421,0.815,2.3,-28.5,2,44.8,21.9,BNL20468,N/A,N/A,N/A,23
BNL20473,20220308,Pittoniotis trichantha,PA-PNM,0.229,0.0846,13.50297,62.65288303,0.76,2.8,-31.5,2.1,50.1,24.4,BNL20473,N/A,N/A,N/A,22.9
BNL20476,20220308,Pittoniotis trichantha,PA-PNM,0.233,0.0819,13.50297,60.65332294,0.733,2.2,-31.4,2.2,48.6,21.8,BNL20476,N/A,N/A,N/A,23.4
BNL20477,20220308,Pittoniotis trichantha,PA-PNM,0.206,0.0708,13.50297,52.4329092,0.762,3,-32.7,2.2,48.3,22.1,BNL20477,N/A,N/A,N/A,23
BNL20481,20220309,Luehea seemannii,PA-PNM,0.3502,0.1746,13.50297,129.3048863,0.809,-0.8,-29.8,1.6,47.5,29.4,BNL20481,N/A,N/A,N/A,22.1
BNL20482,20220309,Cinnamomum triplinerve,PA-PNM,0.341,0.1726,13.50297,127.8237306,0.84,-0.5,-30.3,1.5,48.4,31.3,BNL20482,N/A,N/A,N/A,22.2
BNL20485,20220309,Luehea seemannii,PA-PNM,0.275,0.1392,11.42559,121.8317829,0.838,-0.8,-31,1.8,48,26.5,BNL20485,N/A,N/A,N/A,22.2
BNL20486,20220309,Cinnamomum triplinerve,PA-PNM,0.336,0.1752,13.50297,129.7492329,0.745,-0.9,-29.9,1.9,47.6,24.5,BNL20486,N/A,N/A,N/A,22.2
BNL20493,20220310,Calycophyllum candidissimum,PA-PNM,0.323,0.1155,13.50297,85.53673747,0.771,2.1,-31.6,1.6,49.2,30.1,BNL20493,N/A,N/A,N/A,21.5
BNL20494,20220310,Calycophyllum candidissimum,PA-PNM,0.199,0.0697,8.30952,83.87969462,0.725,2.5,-32.2,1.5,50.1,33.6,BNL20494,N/A,N/A,N/A,22
BNL20497,20220310,Calycophyllum candidissimum,PA-PNM,0.219,0.0713,11.42559,62.40377959,0.695,0.2,-31.9,1.6,48.3,29.6,BNL20497,N/A,N/A,N/A,21.8
BNL20498,20220310,Calycophyllum candidissimum,PA-PNM,0.154,0.0557,7.27083,76.60748498,0.747,1.6,-32.1,1.7,50.1,29.9,BNL20498,N/A,N/A,N/A,22.2
BNL20505,20220311,Anacardium excelsum,PA-PNM,0.292,0.1014,13.50297,75.0945903,0.82,2.3,-28.5,1.8,46.4,25.5,BNL20505,N/A,N/A,N/A,22.7
BNL20509,20220311,Anacardium excelsum,PA-PNM,0.291,0.1035,13.50297,76.64980371,0.757,0.4,-28.7,1.9,47.3,24.5,BNL20509,N/A,N/A,N/A,22.4
BNL20527,20220323,Piper reticulatum,PA-PNM,0.203,0.0605,13.50297,44.80495772,0.757,0.8,-33.4,2.7,40.1,15,BNL20527,N/A,N/A,N/A,22.1
BNL20528,20220323,Piper reticulatum,PA-PNM,0.354,0.0719,13.50297,53.2475448,0.725,0.7,-33.8,2.3,40.5,17.7,BNL20528,N/A,N/A,N/A,22.4
BNL20531,20220323,Piper reticulatum,PA-PNM,0.196,0.0577,13.50297,42.73133985,0.776,1.6,-35.4,2.6,38.5,14.6,BNL20531,N/A,N/A,N/A,22
BNL20532,20220323,Piper reticulatum,PA-PNM,0.1659,0.0689,7.27083,94.76222109,0.832,0.1,-34.3,2.3,40.6,18,BNL20532,N/A,N/A,N/A,22.7
SPC10290,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.755,1.2,-26.4,1.6,49.7,31.6,C01_01,C01,C,1,N/A
SPC10292,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.726,1.5,-28.4,1.3,49.1,38.3,C01_03,C01,C,1,N/A
SPC10293,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.743,-0.1,-26.2,1.9,47.4,24.9,C02_01,C02,C,2,N/A
SPC10299,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.741,0.5,-29.9,1.3,42.4,33.4,C04_01,C04,C,4,N/A
SPC10302,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.742,1.1,-29.3,1.5,48.5,33.1,C04_04,C04,C,4,N/A
SPC10305,20220209,Calycophyllum candidissimum,PA-PNM,N/A,N/A,N/A,N/A,0.8,1.4,-31.2,1.4,48.7,35.2,C05_01,C05,C,5,N/A
SPC10308,20220209,Arrabidaea corallina,PA-PNM,N/A,N/A,N/A,N/A,0.754,-0.1,-31.3,2.4,48.5,19.9,C05_04,C05,C,5,N/A
SPC10311,20220209,Calycophyllum candidissimum,PA-PNM,N/A,N/A,N/A,N/A,0.762,-0.2,-28.4,1.4,47.7,33.2,C05_07,C05,C,5,N/A
SPC10314,20220209,Calycophyllum candidissimum,PA-PNM,N/A,N/A,N/A,N/A,0.699,0.8,-32.2,1.7,48.2,28,C05_10,C05,C,5,N/A
